"Customer ID","Customer Name",total_sales,customer_rank
SM-20320,"Sean Miller",25043.05,1
TC-20980,"Tamara Chand",19017.847999999998,2
RB-19360,"Raymond Buch",15117.339,3
TA-21385,"Tom Ashbrook",14595.62,4
AB-10105,"Adrian Barton",14355.610999999997,5
SC-20095,"Sanjit Chand",14142.333999999999,6
KL-16645,"Ken Lonsdale",14071.917,7
HL-15040,"Hunter Lopez",12873.297999999999,8
SE-20110,"Sanjit Engle",12209.438000000002,9
CC-12370,"Christopher Conant",12129.072,10
TS-21370,"Todd Sumrall",11885.871,11
GT-14710,"Greg Tran",11820.119999999997,12
BM-11140,"Becky Martin",11609.900000000001,13
SV-20365,"Seth Vernon",11420.645999999997,14
CJ-12010,"Caroline Jumper",11079.742,15
CL-12565,"Clay Ludtke",10880.545999999998,16
ME-17320,"Maria Etezadi",10635.917999999998,17
KF-16285,"Karen Ferguson",10604.266,18
BS-11365,"Bill Shonely",10501.652999999998,19
EH-13765,"Edward Hooks",10005.980000000001,20
JL-15835,"John Lee",9403.003,21
GT-14635,"Grant Thornton",9351.211999999998,22
HW-14935,"Helen Wasserman",9300.253999999997,23
TB-21400,"Tom Boeckenhauer",9012.741999999998,24
PF-19120,"Peter Fuller",8980.496,25
CM-12385,"Christopher Martinez",8954.02,26
JD-16150,"Justin Deggeller",8828.030499999999,27
JE-15715,"Joe Elijah",8672.163,28
LA-16780,"Laura Armstrong",8631.521999999999,29
DR-12940,"Daniel Raglin",8350.868,30
NF-18385,"Natalie Fritzler",8322.826000000001,31
KD-16270,"Karen Daniels",8282.358,32
NC-18535,"Nick Crebassa",8241.739,33
KD-16495,"Keith Dawkins",8181.256,34
PK-19075,"Pete Kriz",8158.654,35
HM-14860,"Harry Marie",8148.844800000002,36
SB-20290,"Sean Braxton",8057.890999999999,37
ZC-21910,"Zuschuss Carroll",8021.135000000001,38
JH-15985,"Joseph Holt",7954.998,39
NP-18700,"Nora Preis",7903.182500000001,40
AH-10690,"Anna Häberlin",7888.294000000001,41
JE-15610,"Jim Epp",7754.976,42
AB-10060,"Adam Bellavance",7732.669999999999,43
JW-15220,"Jane Waco",7721.714,44
JM-15865,"John Murray",7625.076000000002,45
RW-19540,"Rick Wilson",7397.401000000001,46
LC-16885,"Lena Creighton",7396.7739999999985,47
PO-18850,"Patrick O'Brill",7367.3342,48
BM-11650,"Brian Moss",7283.817,49
NW-18400,"Natalie Webber",7234.013999999999,50
Dp-13240,"Dean percer",7198.760999999999,51
PP-18955,"Paul Prost",7075.920000000002,52
RH-19510,"Rick Huthwaite",6962.14,53
MS-17365,"Maribeth Schnelling",6848.31,54
PS-19045,"Penelope Sewall",6843.633999999999,55
BB-11545,"Brenda Bowman",6765.727999999999,56
FH-14365,"Fred Hopkins",6683.659999999999,57
YS-21880,"Yana Sorensen",6654.503999999999,58
AR-10540,"Andy Reiter",6608.448,59
GK-14620,"Grace Kelly",6497.27,60
JA-15970,"Joseph Airdo",6475.474000000001,61
NM-18445,"Nathan Mautz",6459.343999999999,62
JD-15895,"Jonathan Doherty",6456.456,63
SB-20185,"Sarah Brown",6410.995999999999,64
JE-15745,"Joel Eaton",6400.454999999999,65
JG-15160,"James Galang",6366.391999999999,66
CM-12655,"Corinna Mitchell",6339.5576,67
VD-21670,"Valerie Dominguez",6283.354,68
MJ-17740,"Max Jones",6282.226,69
BH-11710,"Brosina Hoffman",6255.351000000001,70
DM-13015,"Darrin Martin",6247.372,71
DR-12880,"Dan Reichenbach",6247.205999999999,72
RL-19615,"Rob Lucas",6234.909999999999,73
VW-21775,"Victoria Wilson",6112.702,74
QJ-19255,"Quincy Jones",6108.338,75
AD-10180,"Alan Dominguez",6100.999999999999,76
GM-14695,"Greg Maxwell",6049.966000000002,77
CB-12025,"Cassandra Brandow",6028.226999999999,78
WB-21850,"William Brown",6024.81,79
RM-19675,"Robert Marley",5967.736,80
KH-16510,"Keith Herrera",5952.859000000002,81
SD-20485,"Shirley Daniels",5920.258,82
BF-11170,"Ben Ferrer",5907.972,83
SC-20380,"Shahid Collister",5894.183999999999,84
CP-12340,"Christine Phan",5888.275000000001,85
KH-16690,"Kristen Hastings",5867.859,86
CS-12505,"Cindy Stewart",5690.054999999999,87
BD-11320,"Bill Donatelli",5672.171,88
AM-10705,"Anne McFarland",5653.861999999999,89
RB-19795,"Ross Baird",5633.315999999999,90
KM-16375,"Katherine Murray",5609.746,91
AA-10315,"Alex Avila",5563.56,92
SM-20950,"Suzanne McNair",5563.392,93
NP-18325,"Naresj Patel",5529.62,94
AC-10450,"Amy Cox",5527.8460000000005,95
MH-18115,"Mick Hernandez",5503.092999999999,96
DP-13390,"Dennis Pardue",5480.723999999999,97
EP-13915,"Emily Phan",5478.0608,98
YC-21895,"Yoseph Carroll",5454.35,99
SP-20620,"Stefania Perrino",5440.319,100
LW-17215,"Luke Weiss",5420.513999999999,101
TS-21205,"Thomas Seio",5371.09,102
TT-21460,"Tonja Turnell",5364.808000000001,103
MW-18220,"Mitch Webber",5341.9,104
TP-21415,"Tom Prescott",5329.0048,105
DW-13480,"Dianna Wilson",5256.848,106
MW-18235,"Mitch Willingham",5253.876,107
HR-14830,"Harold Ryan",5248.786999999999,108
SC-20725,"Steven Cartwright",5226.209999999998,109
TW-21025,"Tamara Willingham",5164.626,110
CP-12085,"Cathy Prescott",5164.101999999999,111
LR-16915,"Lena Radford",5142.891999999999,112
RP-19390,"Resi Pölking",5142.139999999999,113
MP-18175,"Mike Pelletier",5087.92,114
IL-15100,"Ivan Liston",5040.736,115
DH-13075,"Dave Hallsten",4932.871999999999,116
IM-15070,"Irene Maddox",4930.473999999999,117
TT-21070,"Ted Trevino",4915.602,118
KM-16720,"Kunst Miller",4909.472000000001,119
PO-19180,"Philisse Overcash",4893.043000000001,120
HK-14890,"Heather Kirkland",4877.784,121
AJ-10780,"Anthony Jacobs",4867.344,122
AH-10210,"Alan Hwang",4805.344,123
RA-19915,"Russell Applegate",4781.367000000001,124
JK-15730,"Joe Kamberova",4769.900000000001,125
JK-15640,"Jim Kriz",4752.442000000001,126
BW-11110,"Bart Watters",4750.357999999999,127
TB-21520,"Tracy Blumstein",4730.628,128
SA-20830,"Sue Ann Reed",4708.525500000001,129
LB-16795,"Laurel Beltran",4704.304000000001,130
ES-14080,"Erin Smith",4648.516,131
KT-16480,"Kean Thornton",4642.088400000001,132
